"CCG","Cancer Alliance","STP","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness (%)"
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2019,"Breast",68,56,16,5,NA,NA,NA,4,97.3
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2019,"Cervix",6,3,1,2,NA,NA,NA,3,80
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Other",10,9,13,23,12,3,70,32,40.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Ovary, fallopian tube and primary peritoneal carcinomas",6,2,9,3,NA,NA,NA,6,76.9
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Pancreas",NA,5,3,14,NA,NA,NA,6,78.6
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Prostate",65,20,21,34,NA,NA,NA,8,94.6
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Rectum and rectosigmoid junction",7,5,10,10,NA,NA,NA,3,91.4
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Stomach excluding cardia and gastroesophageal junction",4,1,NA,7,NA,NA,NA,2,85.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Testis",4,2,NA,NA,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Thyroid",4,1,2,NA,NA,NA,NA,2,77.8
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Uterus",19,NA,2,2,NA,NA,NA,3,88.5
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Pancreas",2,4,5,11,NA,NA,NA,2,91.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Lung",26,19,34,61,NA,NA,NA,13,91.5
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Melanoma of skin",13,5,2,NA,NA,NA,NA,10,66.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Non-Hodgkin lymphoma",6,7,7,19,NA,NA,NA,7,84.8
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Oesophagus including cardia and gastroesophageal junction",1,6,17,13,NA,NA,NA,1,97.4
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Oral cavity, hard palate and lip (inner aspect)",5,1,1,4,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Oropharynx, base of tongue, tonsil, soft palate and uvula",2,1,1,6,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Other",6,8,14,14,5,NA,71,71,24.9
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Ovary, fallopian tube and primary peritoneal carcinomas",3,2,14,3,NA,NA,NA,4,84.6
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2014,"Pancreas",NA,4,3,8,NA,NA,NA,6,71.4
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,1,1,9,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Other",8,12,2,21,3,1,61,51,29.6
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,NA,2,6,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2016,"Other",10,21,19,24,8,5,66,36,46
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Non-Hodgkin lymphoma",6,6,5,13,NA,NA,NA,10,75
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Oesophagus including cardia and gastroesophageal junction",6,8,12,12,NA,NA,NA,1,97.4
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Oral cavity, hard palate and lip (inner aspect)",3,1,1,8,NA,NA,NA,1,92.9
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2015,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,1,1,5,NA,NA,NA,1,88.9
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Testis",4,NA,1,NA,NA,NA,NA,1,83.3
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Melanoma of skin",33,5,2,1,NA,NA,NA,11,78.8
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Non-Hodgkin lymphoma",2,6,6,14,NA,NA,NA,10,73.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Oesophagus including cardia and gastroesophageal junction",1,6,15,11,NA,NA,NA,4,89.2
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Oral cavity, hard palate and lip (inner aspect)",4,1,3,6,NA,NA,NA,2,87.5
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Oral cavity, hard palate and lip (inner aspect)",2,2,1,4,NA,NA,1,NA,90
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,2,NA,13,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Ovary, fallopian tube and primary peritoneal carcinomas",2,1,9,2,NA,NA,NA,6,70
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Pancreas",3,2,2,3,NA,NA,NA,13,43.5
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Oesophagus including cardia and gastroesophageal junction",1,4,4,16,NA,NA,NA,4,86.2
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Prostate",80,10,30,25,NA,NA,NA,5,96.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Rectum and rectosigmoid junction",8,11,15,5,NA,NA,NA,1,97.5
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Stomach excluding cardia and gastroesophageal junction",NA,2,1,6,NA,NA,NA,6,60
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Ovary, fallopian tube and primary peritoneal carcinomas",8,1,14,6,NA,NA,1,4,85.3
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Thyroid",6,1,NA,NA,NA,NA,NA,5,58.3
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Uterus",17,1,4,4,NA,NA,NA,NA,100
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2017,"Other",10,19,18,27,11,1,70,19,49.1
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Stomach excluding cardia and gastroesophageal junction",1,1,1,NA,NA,NA,NA,4,42.9
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Prostate",64,18,16,26,NA,NA,NA,7,94.7
"NHS Bury CCG","Greater Manchester","Greater Manchester Health and Social Care Partnership",2013,"Rectum and rectosigmoid junction",9,3,14,10,NA,NA,NA,7,83.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Bladder",19,8,3,2,NA,NA,1,2,91.4
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Larynx including anterior surface of epiglottis",3,NA,1,3,NA,NA,NA,2,77.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,1,4,14,NA,NA,NA,1,95
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Breast",94,66,14,1,NA,NA,NA,28,86.2
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Larynx including anterior surface of epiglottis",NA,NA,2,3,NA,NA,NA,1,83.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Oesophagus including cardia and gastroesophageal junction",1,2,9,14,NA,NA,NA,14,65
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Colon",10,27,18,19,NA,NA,NA,5,93.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Hodgkin lymphoma",NA,3,4,4,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Kidney, except renal pelvis",19,1,7,6,NA,NA,NA,4,89.2
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Lung",21,7,31,72,NA,NA,NA,9,93.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Melanoma of skin",25,14,5,2,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Non-Hodgkin lymphoma",5,6,5,10,NA,NA,NA,2,92.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Oesophagus including cardia and gastroesophageal junction",2,7,8,11,NA,NA,NA,8,77.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Oral cavity, hard palate and lip (inner aspect)",4,1,NA,5,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Cervix",2,NA,2,1,NA,NA,NA,4,55.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Colon",11,23,25,30,NA,NA,NA,7,92.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Lung",23,16,34,85,NA,NA,NA,12,92.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Melanoma of skin",23,6,5,4,NA,NA,NA,3,92.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Non-Hodgkin lymphoma",6,2,10,9,NA,NA,1,7,77.1
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Breast",43,61,8,9,NA,NA,NA,12,91
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Cervix",1,2,NA,NA,NA,NA,NA,10,23.1
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Oral cavity, hard palate and lip (inner aspect)",5,2,1,4,NA,NA,NA,1,92.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Oropharynx, base of tongue, tonsil, soft palate and uvula",7,5,2,2,NA,NA,NA,2,88.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Other",10,8,10,16,22,5,98,41,33.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Larynx including anterior surface of epiglottis",1,NA,2,3,NA,NA,NA,2,75
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Lung",30,11,38,80,NA,NA,NA,11,93.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Ovary, fallopian tube and primary peritoneal carcinomas",7,4,8,9,NA,NA,NA,7,80
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Pancreas",1,3,1,12,NA,NA,NA,14,54.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Prostate",51,45,53,27,NA,NA,NA,12,93.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Hodgkin lymphoma",NA,3,2,NA,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2019,"Kidney, except renal pelvis",22,4,8,5,NA,NA,1,9,79.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Bladder",20,5,3,6,NA,NA,NA,4,89.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Melanoma of skin",24,5,5,NA,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Non-Hodgkin lymphoma",2,6,4,21,NA,NA,NA,2,94.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Oesophagus including cardia and gastroesophageal junction",NA,4,18,7,NA,NA,NA,7,80.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Oral cavity, hard palate and lip (inner aspect)",2,1,2,4,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",2,NA,NA,10,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Lung",41,16,32,69,NA,NA,NA,10,94
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Melanoma of skin",23,13,3,1,NA,NA,NA,3,93
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Non-Hodgkin lymphoma",5,6,8,20,NA,NA,NA,3,92.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Oesophagus including cardia and gastroesophageal junction",2,4,12,18,NA,NA,NA,10,78.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Oral cavity, hard palate and lip (inner aspect)",6,2,1,8,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Bladder",21,10,3,5,NA,NA,NA,3,92.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Breast",72,57,20,8,NA,NA,NA,14,91.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Cervix",1,6,NA,NA,NA,NA,NA,9,43.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Colon",15,18,28,15,NA,NA,NA,12,86.4
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Hodgkin lymphoma",1,2,1,3,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Kidney, except renal pelvis",11,2,4,4,NA,NA,NA,6,77.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Larynx including anterior surface of epiglottis",3,NA,3,2,NA,NA,NA,3,72.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Bladder",25,15,NA,2,NA,NA,NA,2,95.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Breast",45,49,11,8,NA,NA,NA,8,93.4
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Cervix",1,2,NA,1,NA,NA,NA,8,33.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Colon",10,13,28,20,NA,NA,NA,13,84.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Hodgkin lymphoma",1,3,NA,2,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Kidney, except renal pelvis",17,4,4,8,NA,NA,NA,3,91.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Larynx including anterior surface of epiglottis",1,1,NA,1,NA,NA,NA,2,60
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Lung",30,15,31,91,NA,NA,NA,13,92.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Melanoma of skin",25,8,3,3,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Non-Hodgkin lymphoma",6,6,5,19,NA,NA,NA,5,87.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Oesophagus including cardia and gastroesophageal junction",2,3,10,9,NA,NA,NA,4,85.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Oral cavity, hard palate and lip (inner aspect)",5,1,1,5,NA,NA,NA,2,85.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Colon",9,19,17,18,NA,NA,NA,7,90
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Hodgkin lymphoma",1,NA,1,1,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Kidney, except renal pelvis",8,2,4,8,NA,NA,NA,5,81.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Bladder",15,7,1,5,NA,NA,NA,6,82.4
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Breast",76,59,16,13,NA,NA,1,11,93.2
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Cervix",1,2,2,NA,NA,NA,NA,7,41.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Colon",13,19,19,21,NA,NA,NA,3,96
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Hodgkin lymphoma",NA,5,3,2,NA,NA,NA,1,90.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Kidney, except renal pelvis",16,NA,3,9,NA,NA,NA,4,87.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Larynx including anterior surface of epiglottis",NA,4,1,2,NA,NA,NA,3,70
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2016,"Lung",32,13,30,79,NA,NA,NA,6,96.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Bladder",21,10,4,3,NA,NA,NA,2,95
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Breast",68,60,11,11,NA,NA,NA,17,89.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Cervix",2,2,NA,NA,NA,NA,NA,2,66.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Bladder",13,9,1,4,NA,NA,NA,7,79.4
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Breast",81,73,17,7,NA,NA,2,10,93.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Cervix",2,3,2,NA,NA,NA,NA,2,77.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Colon",9,23,23,24,NA,NA,NA,12,86.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Hodgkin lymphoma",1,3,2,5,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Kidney, except renal pelvis",10,NA,2,7,NA,NA,NA,6,76
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Larynx including anterior surface of epiglottis",NA,NA,NA,NA,NA,NA,NA,7,0
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Lung",19,13,33,87,NA,NA,2,24,85.4
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Melanoma of skin",23,4,5,3,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Non-Hodgkin lymphoma",9,8,8,9,NA,NA,1,5,85
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Other",12,11,19,20,27,5,88,37,42.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Ovary, fallopian tube and primary peritoneal carcinomas",7,2,5,6,NA,NA,NA,5,80
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Pancreas",4,5,5,17,NA,NA,NA,7,81.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Prostate",36,30,68,42,NA,NA,2,11,93.1
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Rectum and rectosigmoid junction",5,6,16,4,NA,NA,NA,2,93.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Stomach excluding cardia and gastroesophageal junction",2,4,2,7,NA,NA,NA,5,75
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Testis",8,NA,2,NA,NA,NA,NA,1,90.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Thyroid",6,NA,NA,NA,NA,NA,NA,2,75
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2018,"Uterus",20,2,2,2,NA,NA,NA,2,92.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Testis",5,2,NA,NA,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Thyroid",1,1,NA,NA,NA,NA,NA,2,50
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2013,"Uterus",19,NA,3,NA,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Other",13,14,6,19,2,NA,73,64,28.3
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Ovary, fallopian tube and primary peritoneal carcinomas",12,1,9,1,NA,NA,NA,3,88.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Pancreas",NA,NA,1,16,NA,NA,NA,12,58.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Prostate",21,25,49,32,NA,NA,1,12,90.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Rectum and rectosigmoid junction",9,11,18,7,NA,NA,NA,7,86.5
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Stomach excluding cardia and gastroesophageal junction",2,2,1,3,NA,NA,NA,1,88.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Testis",4,1,2,1,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Thyroid",3,1,NA,NA,NA,NA,NA,9,30.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2015,"Uterus",21,2,2,NA,NA,NA,NA,2,92.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Pancreas",2,2,3,14,NA,NA,NA,5,80.8
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2017,"Prostate",33,26,50,38,NA,NA,1,9,93.6
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Melanoma of skin",24,8,6,3,NA,NA,NA,NA,100
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Non-Hodgkin lymphoma",14,3,5,16,NA,NA,NA,3,92.7
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Oesophagus including cardia and gastroesophageal junction",7,5,5,9,NA,NA,NA,5,83.9
"NHS Calderdale CCG","West Yorkshire and Harrogate","West Yorkshire and Harrogate (Health and Care Partnership)",2014,"Oral cavity, hard palate and lip (inner aspect)",4,2,NA,3,NA,NA,NA,2,81.8
